Wavelength [nm],Intensity [a.u.]
844.5479125976562,987.0
844.7002081225215,979.0
844.8524925431218,989.0
845.0047658029833,987.0
845.1570278456325,979.0
845.3092786145955,990.0
845.4615180533988,990.0
845.6137461055687,1002.0
845.7659627146313,1013.0
845.9181678241131,1002.0
846.0703613775404,998.0
846.2225433184393,1009.0
846.3747135903363,1009.0
846.5268721367577,1002.0
846.6790189012297,1013.0
846.8311538272787,1006.0
846.983276858431,1017.0
847.135387938213,1028.0
847.2874870101507,1021.0
847.4395740177706,1009.0
847.591648904599,1009.0
847.7437116141622,1025.0
847.8957620899864,1028.0
848.0478002755982,1040.0
848.1998261145236,1040.0
848.351839550289,1047.0
848.5038405264208,1025.0
848.6558289864452,1025.0
848.8078048738885,1017.0
848.959768132277,1028.0
849.111718705137,1032.0
849.263656535995,1040.0
849.4155815683771,1044.0
849.5674937458097,1028.0
849.719393011819,1051.0
849.8712793099313,1044.0
850.023152583673,1036.0
850.1750127765704,1040.0
850.3268598321497,1017.0
850.4786936939374,1032.0
850.6305143054597,1028.0
850.7823216102428,1036.0
850.9341155518132,1047.0
851.085896073697,1017.0
851.2376631194206,1047.0
851.3894166325103,1036.0
851.5411565564925,1047.0
851.6928828348935,1055.0
851.8445954112394,1036.0
851.9962942290567,1032.0
852.1479792318717,1044.0
852.2996503632105,1040.0
852.4513075665996,1036.0
852.6029507855652,1036.0
852.7545799636337,1036.0
852.9061950443314,1047.0
853.0577959711845,1036.0
853.2093826877194,1051.0
853.3609551374625,1044.0
853.5125132639398,1025.0
853.6640570106779,1036.0
853.8155863212029,1044.0
853.9671011390412,1044.0
854.1186014077192,1044.0
854.2700870707631,1028.0
854.4215580716992,1017.0
854.5730143540538,1044.0
854.7244558613532,1047.0
854.8758825371237,1044.0
855.0272943248917,1032.0
855.1786911681834,1047.0
855.3300730105252,1036.0
855.4814397954433,1055.0
855.632791466464,1044.0
855.7841279671138,1040.0
855.9354492409187,1036.0
856.0867552314053,1044.0
856.2380458820996,1047.0
856.3893211365282,1055.0
856.5405809382173,1044.0
856.6918252306932,1040.0
856.8430539574822,1038.0
856.9942670621106,1032.0
857.1454644881046,1025.0
857.2966461789906,1032.0
857.447812078295,1040.0
857.5989621295439,1025.0
857.7500962762639,1044.0
857.901214461981,1032.0
858.0523166302216,1036.0
858.2034027245122,1032.0
858.3544726883788,1021.0
858.5055264653479,1021.0
858.6565639989457,1032.0
858.8075852326986,1025.0
858.9585901101328,1036.0
859.1095785747748,1028.0
859.2605505701507,1047.0
859.4115060397869,1025.0
859.5624449272096,1025.0
859.7133671759452,1025.0
859.86427272952,1036.0
860.0151615314603,1040.0
860.1660335252925,1032.0
860.3168886545427,1028.0
860.4677268627373,1028.0
860.6185480934028,1028.0
860.7693522900651,1036.0
860.9201393962508,1059.0
861.070909355486,1021.0
861.2216621112973,1017.0
861.3723976072108,1036.0
861.5231157867529,1013.0
861.6738165934498,1021.0
861.8244999708279,1028.0
861.9751658624134,1006.0
862.1258142117326,1028.0
862.276444962312,1013.0
862.4270580576776,1040.0
862.5776534413561,1036.0
862.7282310568735,1032.0
862.8787908477561,1009.0
863.0293327575305,1044.0
863.1798567297226,1047.0
863.330362707859,1028.0
863.4808506354658,1032.0
863.6313204560695,1021.0
863.7817721131963,1036.0
863.9322055503726,1040.0
864.0826207111246,1032.0
864.2330175389786,1025.0
864.383395977461,1025.0
864.5337559700979,1036.0
864.6840974604158,1021.0
864.834420391941,1028.0
864.9847247081998,1017.0
865.1350103527184,1021.0
865.2852772690231,1021.0
865.4355254006405,1044.0
865.5857546910964,1013.0
865.7359650839176,1021.0
865.88615652263,1025.0
866.0363289507602,1021.0
866.1864823118344,1009.0
866.336616549379,1017.0
866.4867316069201,1021.0
866.6368274279841,1028.0
866.7869039560974,1025.0
866.9369611347861,1044.0
867.0869989075767,1036.0
867.2370172179953,1009.0
867.3870160095686,1032.0
867.5369952258225,1025.0
867.6869548102834,1021.0
867.8368947064778,1021.0
867.9868148579317,1017.0
868.1367152081716,1017.0
868.2865957007238,1017.0
868.4364562791145,1017.0
868.5862968868702,1006.0
868.736117467517,1006.0
868.8859179645814,1025.0
869.0356983215895,1006.0
869.1854584820677,1021.0
869.3351983895423,1013.0
869.4849179875396,1013.0
869.6346172195858,1021.0
869.7842960292076,1021.0
869.9339543599308,994.0
870.083592155282,1021.0
870.2332093587875,1013.0
870.3828059139734,1013.0
870.5323817643662,1013.0
870.6819368534921,1025.0
870.8314711248775,987.0
870.9809845220486,1009.0
871.1304769885319,1013.0
871.2799484678535,1009.0
871.4293989035398,998.0
871.578828239117,1013.0
871.7282364181115,1013.0
871.8776233840496,998.0
872.0269890804575,1002.0
872.1763334508618,1017.0
872.3256564387884,1006.0
872.4749579877639,1017.0
872.6242380413146,1013.0
872.7734965429665,1009.0
872.9227334362463,1013.0
873.07194866468,1021.0
873.2211421717941,1009.0
873.3703139011149,1021.0
873.5194637961686,1036.0
873.6685918004815,1013.0
873.81769785758,1013.0
873.9667819109903,1013.0
874.1158439042388,1017.0
874.2648837808517,1017.0
874.4139014843554,1009.0
874.5628969582763,1009.0
874.7118701461404,1008.0
874.8608209914743,1013.0
875.0097494378042,1017.0
875.1586554286563,1002.0
875.307538907557,1006.0
875.4563998180327,1009.0
875.6052381036095,994.0
875.7540537078139,994.0
875.9028465741721,1009.0
876.0516166462105,1013.0
876.2003638674553,1009.0
876.3490881814328,1021.0
876.4977895316692,1009.0
876.6464678616911,1009.0
876.7951231150246,1009.0
876.9437552351961,1017.0
877.0923641657319,1006.0
877.2409498501581,1009.0
877.3895122320014,1009.0
877.5380512547877,1006.0
877.6865668620435,1002.0
877.835058997295,1002.0
877.9835276040687,1021.0
878.1319726258909,994.0
878.2803940062877,1013.0
878.4287916887855,1013.0
878.5771656169106,1002.0
878.7255157341893,987.0
878.8738419841479,994.0
879.0221443103128,994.0
879.1704226562101,1006.0
879.3186769653664,1002.0
879.4669071813078,1009.0
879.6151132475605,990.0
879.7632951076512,994.0
879.9114527051057,1021.0
880.0595859834507,1006.0
880.2076948862123,1006.0
880.3557793569169,1002.0
880.5038393390907,990.0
880.6518747762602,1009.0
880.7998856119516,998.0
880.9478717896911,1002.0
881.0958332530051,1017.0
881.2437699454199,1006.0
881.3916818104618,1006.0
881.5395687916571,1036.0
881.6874308325322,1006.0
881.8352678766132,1013.0
881.9830798674266,1006.0
882.1308667484986,1002.0
882.2786284633555,990.0
882.4263649555237,998.0
882.5740761685294,1017.0
882.7217620458989,998.0
882.8694225311586,1002.0
883.0170575678349,1013.0
883.1646670994538,994.0
883.3122510695418,998.0
883.4598094216252,1002.0
